split,skenario,eval_method,seen_intents,unseen_intents,f1_macro_seen7,precision_seen7,recall_seen7,epochs_finetuned
Split-A,Split Degradation (7 Seen),Gram-Inverse Logit (In-Memory Fine-Tune),Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Marah dan Frustasi; Menyatakan Perasaan Percaya; Menyatakan Perasaan Sebelum Menghadapi Kejadian; Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Rasa Syukur dan Apresiasi,Mengisyaratkan Butuh Bantuan Profesional; Mengisyaratkan Gejala Fisik; Menyatakan Reaksi Terkejut dan Tidak Terduga,0.8423,0.9024,0.8099,15
Split-B,Split Degradation (7 Seen),Gram-Inverse Logit (In-Memory Fine-Tune),Mengisyaratkan Butuh Bantuan Profesional; Mengisyaratkan Gejala Fisik; Menyatakan Perasaan Marah dan Frustasi; Menyatakan Perasaan Percaya; Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Reaksi Terkejut dan Tidak Terduga,Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian,0.8933,0.9167,0.8779,15
Split-C,Split Degradation (7 Seen),Gram-Inverse Logit (In-Memory Fine-Tune),Mengisyaratkan Butuh Bantuan Profesional; Mengisyaratkan Gejala Fisik; Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sebelum Menghadapi Kejadian; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga,Menyatakan Perasaan Marah dan Frustasi; Menyatakan Perasaan Percaya; Menyatakan Perasaan Sedih dan Kehilangan,0.9082,0.9479,0.8726,15
