model,model_id,hidden_size,best_val_f1,test_loss,test_f1_micro,test_precision_micro,test_recall_micro,training_time_s,epochs
IndoBERT,indobenchmark/indobert-base-p1,768,0.8916,30.2091,0.9243,0.9468,0.9029,1367.7,50
IndoBERTweet,indolem/indobertweet-base-uncased,768,0.89,31.9728,0.912,0.9455,0.8808,1242.3,50
mBERT,bert-base-multilingual-cased,768,0.8831,32.7439,0.9178,0.9239,0.9117,6514.6,50
MiniLM-multi,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384,0.887,46.7802,0.8854,0.9016,0.8698,17153.0,50
