split,seen_intents,unseen_intents,f1_macro_all,precision_macro_all,recall_macro_all,f1_macro_seen,precision_macro_seen,recall_macro_seen,f1_macro_unseen,precision_macro_unseen,recall_macro_unseen
Split-A,Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Marah dan Frustasi; Menyatakan Perasaan Percaya; Menyatakan Perasaan Sebelum Menghadapi Kejadian; Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Rasa Syukur dan Apresiasi,Mengisyaratkan Butuh Bantuan Profesional; Mengisyaratkan Gejala Fisik; Menyatakan Reaksi Terkejut dan Tidak Terduga,0.1995,0.4406,0.1985,0.1685,0.5279,0.147,0.2717,0.2369,0.3185
Split-B,Mengisyaratkan Butuh Bantuan Profesional; Mengisyaratkan Gejala Fisik; Menyatakan Perasaan Marah dan Frustasi; Menyatakan Perasaan Percaya; Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Reaksi Terkejut dan Tidak Terduga,Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian,0.1995,0.4406,0.1985,0.1653,0.5046,0.1626,0.2792,0.2914,0.2821
Split-C,Mengisyaratkan Butuh Bantuan Profesional; Mengisyaratkan Gejala Fisik; Menyatakan Perasaan Benci dan Jijik; Menyatakan Perasaan Sebelum Menghadapi Kejadian; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga,Menyatakan Perasaan Marah dan Frustasi; Menyatakan Perasaan Percaya; Menyatakan Perasaan Sedih dan Kehilangan,0.1995,0.4406,0.1985,0.2467,0.3285,0.263,0.0893,0.7024,0.048
